,tier,s1,s2,text,match_melodia,match_melodia_mix,match_ftanet,match_ftanet_mix,match_melodia_spleeter,match_melodia_spleeter_mix,group_num_melodia,group_num_melodia_mix,group_num_ftanet,group_num_ftanet_mix,group_num_melodia_spleeter,group_num_melodia_spleeter_mix,occ_num_melodia,occ_num_melodia_mix,occ_num_ftanet,occ_num_ftanet_mix,occ_num_melodia_spleeter,occ_num_melodia_spleeter_mix
131,underlying_full_phrase,357.13599999999997,362.847,mnnnsndmmmgmpmggrs,no match,no match,no match,match,no match,no match,,,,38.0,,,,,,4.0,,
132,underlying_full_phrase,363.11,368.055,mmmmmpmgrgm,match,no match,match,no match,match,no match,45.0,,42.0,,49.0,,1.0,,1.0,,1.0,
133,underlying_full_phrase,368.159,373.715,mnnnsndmmmgmpmggrs,no match,no match,no match,match,no match,no match,,,,38.0,,,,,,3.0,,
134,underlying_full_phrase,376.504,381.13300000000004,nnnsndmgmnns,no match,no match,match,no match,no match,no match,,,35.0,,,,,,0.0,,,
135,underlying_full_phrase,381.528,386.014,sssndmnnsns,match,no match,match,match,no match,no match,26.0,,23.0,29.0,,,0.0,,0.0,1.0,,
136,underlying_full_phrase,405.86300000000006,410.591,nnnsndmgmnns,no match,no match,no match,match,no match,no match,,,,39.0,,,,,,6.0,,
137,underlying_full_phrase,410.8,414.366,sssndmnnsns,match,match,match,match,match,match,25.0,10.0,21.0,26.0,25.0,10.0,2.0,11.0,3.0,3.0,2.0,2.0
138,underlying_full_phrase,421.577,425.24800000000005,sssndmnnsns,match,no match,match,match,match,match,25.0,,21.0,26.0,25.0,8.0,0.0,,2.0,2.0,3.0,7.0
139,underlying_full_phrase,425.353,431.971,nnnnnnsndmgmnns,no match,no match,match,no match,no match,no match,,,46.0,,,,,,3.0,,,
140,underlying_full_phrase,432.27099999999996,435.68800000000005,sssndmnnsns,no match,match,match,match,match,match,,15.0,27.0,36.0,29.0,11.0,,16.0,1.0,1.0,1.0,1.0
141,underlying_full_phrase,436.186,441.475,grsssnrsnndmgmn,no match,no match,no match,match,match,no match,,,,44.0,38.0,,,,,0.0,1.0,
142,underlying_full_phrase,441.654,446.57599999999996,ssnsrsndmmgmpmggrs,match,no match,match,match,match,match,34.0,,30.0,38.0,36.0,12.0,0.0,,2.0,0.0,0.0,13.0
143,underlying_full_phrase,446.944,451.94199999999995,grsssnrsnndmgmn,no match,no match,match,no match,no match,no match,,,33.0,,,,,,1.0,,,
144,underlying_full_phrase,452.423,456.86699999999996,ssnsrsndmmgmpmggrs,match,match,match,match,no match,no match,27.0,15.0,20.0,41.0,,,2.0,8.0,3.0,4.0,,
145,underlying_full_phrase,457.81199999999995,462.967,grsssnrsnndmgmn,match,match,match,match,match,no match,33.0,15.0,33.0,44.0,38.0,,3.0,6.0,3.0,2.0,2.0,
146,underlying_full_phrase,463.194,467.639,ssnsrsndmmgmpmggrs,match,match,match,no match,match,match,20.0,11.0,20.0,,21.0,8.0,4.0,3.0,0.0,,1.0,17.0
147,underlying_full_phrase,473.418,479.629,nrsnsndmgmpmgrgmgmn,no match,no match,match,match,match,no match,,,42.0,51.0,41.0,,,,2.0,0.0,1.0,
